# wavelength F_lambda
3.805575499999999920e+03 4.844821301224232714e-16
3.811413500000000113e+03 5.391397533702789095e-16
3.817251500000000306e+03 4.280640999183844501e-16
3.823089500000000044e+03 4.131422892023912939e-16
3.828927499999999782e+03 4.041895920069894862e-16
3.834765499999999975e+03 3.143473181875982918e-16
3.840603500000000167e+03 2.328851759957938178e-16
3.846441499999999905e+03 4.095518140783016606e-16
3.852279500000000098e+03 4.115989642267345905e-16
3.858117500000000291e+03 6.644825303220901720e-16
3.863955500000000029e+03 4.676314694975716294e-16
3.869793499999999767e+03 4.270653146554536706e-16
3.875631499999999960e+03 4.700289380572888750e-16
3.881469500000000153e+03 4.019684315465018894e-16
3.887307499999999891e+03 4.291667972553009333e-16
3.893145500000000084e+03 4.851822045808660966e-16
3.898983500000000276e+03 4.107530329843885165e-16
3.904821500000000015e+03 3.418309328207795435e-16
3.910659499999999753e+03 4.023311761649930955e-16
3.916497499999999945e+03 3.891450456931292102e-16
3.922335500000000138e+03 4.434310334598244190e-16
3.928173499999999876e+03 4.290421593946164284e-16
3.934011500000000069e+03 2.981805514939046936e-16
3.939849500000000262e+03 3.309908317096366385e-16
3.945687500000000000e+03 4.460873937902566497e-16
3.951525500000000193e+03 3.538471350491710749e-16
3.957363499999999931e+03 3.788849103721168898e-16
3.963201500000000124e+03 4.368185898903272062e-16
3.969039499999999862e+03 4.368136913262340567e-16
3.974877500000000055e+03 4.211181964747604317e-16
3.980715500000000247e+03 5.085228623668113923e-16
3.986553499999999985e+03 4.552247726618468035e-16
3.992391500000000178e+03 3.420002369340736936e-16
3.998229499999999916e+03 3.762926323044261627e-16
4.004067500000000109e+03 3.102616016154203338e-16
4.009905499999999847e+03 3.748182208185941274e-16
4.015743500000000040e+03 3.204585604812595320e-16
4.021581500000000233e+03 4.418385394216199674e-16
4.027419499999999971e+03 3.849911156469319764e-16
4.033257500000000164e+03 5.083830950534101475e-16
4.039095499999999902e+03 4.818898301805894483e-16
4.044933500000000095e+03 3.566990491367854356e-16
4.050771499999999833e+03 3.658694394610439870e-16
4.056609500000000025e+03 3.849737633073403514e-16
4.062447500000000218e+03 3.804019418628116296e-16
4.068285499999999956e+03 4.179868247003060166e-16
4.074123500000000149e+03 3.629987766262751692e-16
4.079961499999999887e+03 4.413856776653092528e-16
4.085799500000000080e+03 3.634511667931831494e-16
4.091637499999999818e+03 3.931233099900428614e-16
4.097475499999999556e+03 3.483295798489263413e-16
4.103313500000000204e+03 3.878045522742948444e-16
4.109151499999999942e+03 4.095588095173941369e-16
4.114989500000000589e+03 3.576241699980262895e-16
4.120827500000000327e+03 4.092817822068395572e-16
4.126665500000000065e+03 3.473505993728095349e-16
4.132503499999999804e+03 4.090516112070212964e-16
4.138341499999999542e+03 3.141514461930073858e-16
4.144179500000000189e+03 4.999704598204385271e-16
4.150017499999999927e+03 4.132277368913336360e-16
4.155855500000000575e+03 4.324786458413328030e-16
4.161693500000000313e+03 4.167498025038214923e-16
4.167531500000000051e+03 3.522398897686632368e-16
4.173369499999999789e+03 5.430416578585547764e-16
4.179207499999999527e+03 4.743134448059548912e-16
4.185045500000000175e+03 3.938281389500673250e-16
4.190883499999999913e+03 4.308773334857427879e-16
4.196721500000000560e+03 4.414852041655684509e-16
4.202559500000000298e+03 3.929124220203767766e-16
4.208397500000000036e+03 3.765263312490279721e-16
4.214235499999999774e+03 4.727404944482195803e-16
4.220073499999999513e+03 4.187142407480230352e-16
4.225911500000000160e+03 5.197076030070301468e-16
4.231749499999999898e+03 4.126468195350794421e-16
4.237587500000000546e+03 4.493648111779457313e-16
4.243425500000000284e+03 4.501029335680105006e-16
4.249263500000000022e+03 5.008755345577296508e-16
4.255101499999999760e+03 4.589470327395234487e-16
4.260939499999999498e+03 5.144525434799501763e-16
4.266777500000000146e+03 4.838437499656682847e-16
4.272615499999999884e+03 4.000182886052347077e-16
4.278453500000000531e+03 3.685709869193090464e-16
4.284291500000000269e+03 3.984015995434962354e-16
4.290129500000000007e+03 3.895483368513300244e-16
4.295967499999999745e+03 3.961001799742773506e-16
4.301805499999999483e+03 4.336155706370663595e-16
4.307643500000000131e+03 3.663084103133013058e-16
4.313481499999999869e+03 4.192078647871412694e-16
4.319319500000000517e+03 4.447038227908226547e-16
4.325157500000000255e+03 5.049614298851600592e-16
4.330995499999999993e+03 4.252722692008821690e-16
4.336833499999999731e+03 4.537199388984847401e-16
4.342671499999999469e+03 4.897033476935894623e-16
4.348509500000000116e+03 5.232371119659103282e-16
4.354347499999999854e+03 5.097768711638336540e-16
4.360185500000000502e+03 2.979183935971069341e-16
4.366023500000000240e+03 5.358219546979983490e-16
4.371861499999999978e+03 4.228270135292895426e-16
4.377699499999999716e+03 4.378624591131593461e-16
4.383537499999999454e+03 4.244487538399603191e-16
4.389375500000000102e+03 4.103145612615898188e-16
4.395213499999999840e+03 4.258563877951815855e-16
4.401051500000000487e+03 3.903491903750196134e-16
4.406889500000000226e+03 3.925603776037370767e-16
4.412727499999999964e+03 3.064711382060848139e-16
4.418565499999999702e+03 3.348168771500363602e-16
