#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3268.0184471	0.0	0.0	5.63597873943e-17
3268.21648131	0.0	0.0	5.86302204058e-17
3268.41451554	0.0	0.0	5.74040150016e-17
3268.61254976	0.0	0.0	5.56924072859e-17
3268.81058399	0.0	0.0	5.67657661246e-17
3269.00861821	0.0	0.0	5.5092370725e-17
3269.20665244	0.0	0.0	5.40034112737e-17
3269.40468666	0.0	0.0	5.16137289928e-17
3269.60272089	0.0	0.0	5.06429147369e-17
3269.80075511	0.0	0.0	5.2603412141e-17
3269.99878934	0.0	0.0	5.24518056792e-17
3270.19682356	0.0	0.0	5.32111201702e-17
3270.39485778	0.0	0.0	5.38979703091e-17
3270.592892	0.0	0.0	5.28834717058e-17
3270.79092623	0.0	0.0	5.70903929928e-17
3270.98896045	0.0	0.0	5.65707168328e-17
3271.18798486	0.0	0.0	5.6385472911e-17
3271.38601907	0.0	0.0	5.42776588719e-17
3271.5840533	0.0	0.0	5.29372935337e-17
3271.78208752	0.0	0.0	5.42444326886e-17
3271.98012175	0.0	0.0	5.152132275e-17
3272.17815597	-3.46643589259e-18	-3.46643589259e-18	5.33332007058e-17
3272.3761902	-5.5129228784e-18	-5.5129228784e-18	5.33655146222e-17
3272.57422442	-5.51277871538e-18	-5.51277871538e-18	5.27250064462e-17
3272.77225865	-5.51263464186e-18	-5.51263464186e-18	5.3320540723e-17
3272.97029287	-7.7192868398e-18	-7.7192868398e-18	5.46386415213e-17
3273.1683271	-7.71908534036e-18	-7.71908534036e-18	5.39077928704e-17
3273.36636133	-7.71888396609e-18	-7.71888396609e-18	5.35247333471e-17
3273.56439554	-7.71868271694e-18	-7.71868271694e-18	5.46462063774e-17
3273.76242977	-7.71848159284e-18	-7.71848159284e-18	5.41648987015e-17
3273.96046399	-7.71828059373e-18	-7.71828059373e-18	5.49550745864e-17
3274.15849822	-8.56713284978e-18	-8.56713284978e-18	5.47335811991e-17
3274.35653244	-8.56691001639e-18	-8.56691001639e-18	5.73358475727e-17
3274.55456667	-7.71767834576e-18	-7.71767834576e-18	5.67528274598e-17
3274.75260089	-5.51119882072e-18	-5.51119882072e-18	5.6242310549e-17
3274.95063512	-3.465171189e-18	-3.465171189e-18	5.31596062113e-17
3275.14866935	-3.46508127362e-18	-3.46508127362e-18	5.36187165597e-17
3275.34670357	-5.5107698127e-18	-5.5107698127e-18	5.36619485835e-17
3275.5447378	-5.51062698792e-18	-5.51062698792e-18	5.3722385549e-17
3275.74277202	-5.51048425202e-18	-5.51048425202e-18	5.25706158468e-17
3275.94080624	-5.51034160493e-18	-5.51034160493e-18	5.18394657203e-17
3276.13884046	-5.51019904664e-18	-5.51019904664e-18	5.38177278117e-17
3276.33687469	-7.71587833199e-18	-7.71587833199e-18	5.33584673269e-17
3276.53490892	-5.50991419622e-18	-5.50991419622e-18	5.55247426155e-17
3276.73294314	-3.4643639619e-18	-3.4643639619e-18	5.43349567558e-17
3276.93097737	-5.50962970043e-18	-5.50962970043e-18	5.4114593376e-17
3277.13000176	-5.50948687505e-18	-5.50948687505e-18	5.33945352361e-17
3277.32803599	-8.62860876933e-18	-8.62860876933e-18	5.22889871703e-17
3277.52607021	-1.3538273557e-17	-1.3538273557e-17	5.35158976885e-17
3277.72410444	-8.62816430907e-18	-8.62816430907e-18	5.53655025012e-17
3277.92213866	-8.62794228662e-18	-8.62794228662e-18	5.46058393183e-17
3278.12017289	-1.35372284714e-17	-1.35372284714e-17	5.62110569077e-17
3278.31820712	-1.35368805436e-17	-1.35368805436e-17	5.52413619215e-17
3278.51624134	-8.62727704914e-18	-8.62727704914e-18	5.5588741444e-17
3278.71427557	-1.35361853385e-17	-1.35361853385e-17	5.55435160283e-17
3278.91230978	-8.62683424835e-18	-8.62683424835e-18	5.54215859655e-17
3279.11034401	-1.35354910001e-17	-1.35354910001e-17	5.40137253053e-17
3279.30837824	-8.62639199958e-18	-8.62639199958e-18	5.3582053745e-17
3279.50641246	-8.62617108204e-18	-8.62617108204e-18	5.6054182294e-17
3279.70444669	-8.62595030227e-18	-8.62595030227e-18	5.44469992316e-17
3279.90248091	-1.35341049194e-17	-1.35341049194e-17	5.5609208654e-17
3280.10051514	-8.62550915586e-18	-8.62550915586e-18	5.2381709826e-17
3280.29854937	-5.50722504998e-18	-5.50722504998e-18	5.38864011874e-17
3280.49658359	-3.22395264639e-18	-3.22395264639e-18	5.29891326665e-17
3280.69461782	-5.50694390603e-18	-5.50694390603e-18	5.32355284404e-17
3280.89265205	-5.50680346563e-18	-5.50680346563e-18	5.53589918717e-17
3281.09068627	-5.50666311291e-18	-5.50666311291e-18	5.55110474824e-17
3281.28872049	-8.62418901618e-18	-8.62418901618e-18	5.5097092497e-17
3281.48675471	-1.16989093741e-17	-1.16989093741e-17	5.47160576136e-17
3281.68478894	-1.16986117375e-17	-1.16986117375e-17	5.48121575456e-17
3281.88282317	-1.52561602274e-17	-1.52561602274e-17	5.43585810491e-17
3282.08085739	-1.52557725544e-17	-1.52557725544e-17	5.42496323512e-17
3282.27889162	-1.52553851234e-17	-1.52553851234e-17	5.36533576303e-17
3282.47692585	-1.16974230489e-17	-1.16974230489e-17	5.47756287576e-17
3282.67496007	-1.16971263406e-17	-1.16971263406e-17	5.49486380968e-17
3282.8729943	-1.52542242819e-17	-1.52542242819e-17	5.4750946441e-17
3283.07102853	-1.169653348e-17	-1.169653348e-17	5.45541680175e-17
3283.27005292	-1.16962358472e-17	-1.16962358472e-17	5.40294233834e-17
3283.46808715	-1.52530636854e-17	-1.52530636854e-17	5.59665549033e-17
3283.66612137	-1.1695644099e-17	-1.1695644099e-17	5.32929003245e-17
3283.8641556	-8.62134454063e-18	-8.62134454063e-18	5.76093860509e-17
3284.06218982	-1.16950530902e-17	-1.16950530902e-17	5.42275500485e-17
3284.26022404	-8.62090914482e-18	-8.62090914482e-18	5.39645235046e-17
3284.45825827	-7.336321523e-18	-7.336321523e-18	5.5543790732e-17
3284.65629249	-7.33613654863e-18	-7.33613654863e-18	5.50298655803e-17
3284.85432672	-7.33595168989e-18	-7.33595168989e-18	5.44253703554e-17
3285.05236095	-7.33576694673e-18	-7.33576694673e-18	5.63621382846e-17
3285.25039517	-7.33558231909e-18	-7.33558231909e-18	5.47187239162e-17
3285.4484294	-7.33539780689e-18	-7.33539780689e-18	5.54889248859e-17
3285.64646363	-7.33521341007e-18	-7.33521341007e-18	5.38684119258e-17
3285.84449785	-2.93907689115e-18	-2.93907689115e-18	5.31010351777e-17
3286.04253208	-2.93900309748e-18	-2.93900309748e-18	5.34082850882e-17
3286.24056631	-7.3346609113e-18	-7.3346609113e-18	5.44795094994e-17
3286.43860053	-2.93885564858e-18	-2.93885564858e-18	5.50522474365e-17
3286.63663475	-2.9387819933e-18	-2.9387819933e-18	5.59212729529e-17
3286.83466898	-7.33410944866e-18	-7.33410944866e-18	5.58177794827e-17
3287.0327032	-7.33392585773e-18	-7.33392585773e-18	5.64455343744e-17
3287.23073743	-2.93856130381e-18	-2.93856130381e-18	5.53217972204e-17
3287.42877166	-4.55418896776e-19	-4.55418896776e-19	5.61766368946e-17
3287.62680589	7.4148413366e-18	7.4148413366e-18	5.40766131075e-17
3287.82484011	-4.55396144434e-19	-4.55396144434e-19	5.31775805812e-17
3288.02287434	7.41447111997e-18	7.41447111997e-18	5.42014991366e-17
3288.22090857	8.17634538999e-18	8.17634538999e-18	5.50102174707e-17
3288.41894279	7.41410136658e-18	7.41410136658e-18	5.28419310146e-17
3288.61697702	-4.55350725119e-19	-4.55350725119e-19	5.41955241766e-17
3288.81501124	-4.55339388051e-19	-4.55339388051e-19	5.48269030259e-17
3289.01304546	-4.55328058081e-19	-4.55328058081e-19	5.37538455763e-17
3289.21206987	7.41336232585e-18	7.41336232585e-18	5.41133148712e-17
3289.4101041	-4.5530536285e-19	-4.5530536285e-19	5.42689410334e-17
3289.60813831	-4.55294054179e-19	-4.55294054179e-19	5.40319251401e-17
3289.80617254	-4.55282752587e-19	-4.55282752587e-19	5.36602398293e-17
3290.00420677	7.41262605543e-18	7.41262605543e-18	5.2643906257e-17
3290.20224099	-4.55260170627e-19	-4.55260170627e-19	5.09959665323e-17
3290.40027522	-4.5524889025e-19	-4.5524889025e-19	5.03804426285e-17
3290.59830945	-4.55237616935e-19	-4.55237616935e-19	5.0743033737e-17
3290.79634368	-4.5522635068e-19	-4.5522635068e-19	5.13889397685e-17
3290.9943779	5.9246383936e-18	5.9246383936e-18	5.19277210474e-17
3291.19241213	8.7430543928e-18	8.7430543928e-18	5.19653953111e-17
3291.39044636	8.74283840923e-18	8.74283840923e-18	5.3574417554e-17
3291.58848058	1.13727193044e-17	1.13727193044e-17	5.65534844624e-17
3291.7865148	1.13724386969e-17	1.13724386969e-17	5.23367640922e-17
3291.98454903	1.76830284163e-17	1.76830284163e-17	5.20922517175e-17
3292.18258326	1.76825926348e-17	1.76825926348e-17	5.26643716348e-17
3292.38061748	1.76821571263e-17	1.76821571263e-17	5.20011612829e-17
3292.57865171	1.13713180234e-17	1.13713180234e-17	5.14854500475e-17
3292.77668594	1.13710382936e-17	1.13710382936e-17	5.22120875914e-17
