wave flux err
11198.0 1.7030914891864945e-17 9.99172063711567e-19
11244.0 1.5051282197348386e-17 9.737906890793754e-19
11290.0 1.4937937451747434e-17 9.627943563735716e-19
11336.0 1.4874676779702528e-17 9.471226964573002e-19
11382.0 1.5452247791737374e-17 9.368463192010313e-19
11428.0 1.4462256107993508e-17 9.224560321343037e-19
11474.0 1.4388309320019298e-17 9.126761623372466e-19
11520.0 1.532772038564346e-17 9.160202475116792e-19
11566.0 1.5283475770438558e-17 9.27182624713661e-19
11612.0 1.3663389503401878e-17 9.180849934821153e-19
11658.0 1.3807670328825094e-17 8.856615202185365e-19
11704.0 1.4769276689745737e-17 8.72702249984762e-19
11750.0 1.2850898281035875e-17 8.517362902416345e-19
11796.0 1.3388605502083634e-17 8.551563773382548e-19
11842.0 1.1553624646655143e-17 8.3538183810663175e-19
11888.0 1.1661615634320387e-17 8.196915160654092e-19
11934.0 1.0838739321812001e-17 8.068774116757961e-19
11980.0 1.0560840681160056e-17 8.227609570573561e-19
12026.0 1.0448888299803197e-17 7.988036051267078e-19
12072.0 9.862059397391028e-18 7.861365478697691e-19
12118.0 9.775361144197891e-18 7.857209294469151e-19
12164.0 8.589011044060945e-18 7.78889366310383e-19
12210.0 9.288297617237091e-18 7.635643915408958e-19
12256.0 8.918904178239719e-18 7.613883105927427e-19
12302.0 9.895873076624686e-18 7.67544724049475e-19
12348.0 8.808679036427263e-18 7.535738013645714e-19
12394.0 9.200198701139325e-18 8.593869054988303e-19
12440.0 1.086783574386664e-17 8.608065023495083e-19
12486.0 8.50919759628585e-18 7.421888942998449e-19
12532.0 9.246295122825266e-18 7.431076712750021e-19
12578.0 9.537266272114599e-18 7.374427317109082e-19
12624.0 7.741373708246222e-18 7.365943826840498e-19
12670.0 8.000753970392795e-18 7.346709173500041e-19
12716.0 8.99488887620519e-18 7.345897724505917e-19
12762.0 6.371087728163997e-18 7.2418825535057035e-19
12808.0 9.138783844470775e-18 7.207646532129524e-19
12854.0 8.215979970738749e-18 7.164338825073449e-19
12900.0 7.706015807468129e-18 7.16797248749608e-19
12946.0 7.295231719667716e-18 7.124299870046182e-19
12992.0 8.273410802934892e-18 7.06981108932141e-19
13038.0 7.20538999962067e-18 7.015240227664743e-19
13084.0 7.56832196106179e-18 6.990038866706444e-19
13130.0 6.6981264654580466e-18 6.953962295814224e-19
13176.0 8.925038158814949e-18 6.916682936795689e-19
13222.0 8.034650644643202e-18 6.891019589077958e-19
13268.0 8.23451821124834e-18 6.819123750406673e-19
13314.0 7.682959341826747e-18 6.8315427211094615e-19
13360.0 7.541860825259483e-18 6.839096717905573e-19
13406.0 8.861999690152201e-18 6.804230975791657e-19
13452.0 7.738752379570382e-18 6.763978147141754e-19
13498.0 8.305741551752689e-18 6.727104260948739e-19
13544.0 7.792892152795874e-18 6.736165205388332e-19
13590.0 8.137010744042539e-18 6.7273260723286e-19
13636.0 7.74160351857511e-18 6.745722875443e-19
13682.0 8.522202267319162e-18 6.781854129954341e-19
13728.0 9.376361423830813e-18 6.792274071035228e-19
13774.0 8.662411237731525e-18 6.835880327469117e-19
13820.0 9.678709774810437e-18 7.953926441946242e-19
13866.0 8.083947872454054e-18 7.899918176724219e-19
13912.0 9.599606057214727e-18 6.853686054814826e-19
13958.0 1.0438239191238773e-17 6.866080004220591e-19
14004.0 9.433667557497557e-18 6.866700639211185e-19
14050.0 8.781558538057828e-18 6.824174407747457e-19
14096.0 1.0354260291059129e-17 6.780532553101009e-19
14142.0 1.0607570376644822e-17 6.728935579597653e-19
14188.0 9.541059458654253e-18 6.71541366927569e-19
14234.0 9.752650764651743e-18 6.761565789299622e-19
14280.0 1.0363755570101734e-17 6.730746966782216e-19
