#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3268.02735863	0.0	0.0	1.80466724837e-17
3268.22539286	0.0	0.0	1.71696313793e-17
3268.42342708	0.0	0.0	1.7417520009e-17
3268.62146131	0.0	0.0	1.73041541602e-17
3268.81949553	0.0	0.0	1.67740859909e-17
3269.01752975	0.0	0.0	1.71114407699e-17
3269.21556397	0.0	0.0	1.62146542753e-17
3269.4135982	0.0	0.0	1.57679911371e-17
3269.61163242	0.0	0.0	1.60675093852e-17
3269.80966665	0.0	0.0	1.47024551626e-17
3270.00770087	0.0	0.0	1.49988434862e-17
3270.2057351	0.0	0.0	1.70302808187e-17
3270.40376932	0.0	0.0	1.62669511212e-17
3270.60180355	0.0	0.0	1.52684561122e-17
3270.80082794	0.0	0.0	1.67161035293e-17
3270.99886217	0.0	0.0	1.79536624946e-17
3271.19689639	0.0	0.0	1.76774025107e-17
3271.39493062	0.0	0.0	1.66512994231e-17
3271.59296484	0.0	0.0	1.67523690416e-17
3271.79099907	0.0	0.0	1.55123467188e-17
3271.98903329	0.0	0.0	1.56120553728e-17
3272.18706751	0.0	0.0	1.50935557031e-17
3272.38510173	0.0	0.0	1.59315250074e-17
3272.58313596	-8.57414450559e-20	-8.57414450559e-20	1.57913034861e-17
3272.78117019	-5.15327965248e-19	-5.15327965248e-19	1.54931436257e-17
3272.97920441	-5.15314505801e-19	-5.15314505801e-19	1.57433014124e-17
3273.17723864	-1.89000189269e-18	-1.89000189269e-18	1.5329287478e-17
3273.37527286	-1.88995258795e-18	-1.88995258795e-18	1.56432921232e-17
3273.57330709	-5.15274177602e-19	-5.15274177602e-19	1.65886115587e-17
3273.77134131	-8.57280214363e-20	-8.57280214363e-20	1.72991131498e-17
3273.96937554	-8.57257890291e-20	-8.57257890291e-20	1.74804644401e-17
3274.16740976	-5.15233924536e-19	-5.15233924536e-19	1.7463129684e-17
3274.36544398	-5.15220523523e-19	-5.15220523523e-19	1.70035785144e-17
3274.56347821	-5.15207130843e-19	-5.15207130843e-19	1.59217487764e-17
3274.76151243	-1.42201873126e-18	-1.42201873126e-18	1.55457186299e-17
3274.95954666	-5.15180370464e-19	-5.15180370464e-19	1.5399723856e-17
3275.15758088	-8.57124237018e-20	-8.57124237018e-20	1.68780682805e-17
3275.35561511	-8.57102009936e-20	-8.57102009936e-20	1.63074519831e-17
3275.55364933	-8.57079796684e-20	-8.57079796684e-20	1.63126905341e-17
3275.75168356	-8.57057597253e-20	-8.57057597253e-20	1.61250831257e-17
3275.94971778	7.45485898237e-19	7.45485898237e-19	1.67445611624e-17
3276.14775201	7.45466612255e-19	7.45466612255e-19	1.56769408568e-17
3276.34578624	7.45447338279e-19	7.45447338279e-19	1.57904771262e-17
3276.54481063	-8.56968826932e-20	-8.56968826932e-20	1.57274569358e-17
3276.74284486	-1.42165037961e-18	-1.42165037961e-18	1.5337716323e-17
3276.94087908	-1.42161368884e-18	-1.42161368884e-18	1.51067216492e-17
3277.13891331	-8.56902477211e-20	-8.56902477211e-20	1.57346890778e-17
3277.33694753	-8.56880388182e-20	-8.56880388182e-20	1.55463259514e-17
3277.53498175	-8.56858312913e-20	-8.56858312913e-20	1.57335466213e-17
3277.73301597	-1.42146715417e-18	-1.42146715417e-18	1.6533956897e-17
3277.9310502	-1.42143057755e-18	-1.42143057755e-18	1.76839853538e-17
3278.12908443	-1.42139402372e-18	-1.42139402372e-18	1.63717468032e-17
3278.32711865	-8.56770149305e-20	-8.56770149305e-20	1.68315504e-17
3278.52515288	8.30699421046e-19	8.30699421046e-19	1.69138150074e-17
3278.7231871	-8.56726149884e-20	-8.56726149884e-20	1.65023535217e-17
3278.92122133	-1.4212480361e-18	-1.4212480361e-18	1.57973933059e-17
3279.11925556	-1.42121159606e-18	-1.42121159606e-18	1.6728052835e-17
3279.31728978	-1.42117517875e-18	-1.42117517875e-18	1.76658265627e-17
3279.51532401	-1.55198823167e-18	-1.55198823167e-18	1.64299214939e-17
3279.71335822	-1.42110241225e-18	-1.42110241225e-18	1.5987302785e-17
3279.91139245	7.7714581742e-19	7.7714581742e-19	1.72894121743e-17
3280.10942668	7.77125951339e-19	7.77125951339e-19	1.70063664255e-17
3280.3074609	-1.42099343264e-18	-1.42099343264e-18	1.64543193171e-17
3280.50549513	-1.42095715142e-18	-1.42095715142e-18	1.7018809579e-17
3280.70352936	7.7706642744e-19	7.7706642744e-19	1.63733425939e-17
3280.90156358	9.84329110715e-19	9.84329110715e-19	1.68150838389e-17
3281.09959781	7.7702680673e-19	7.7702680673e-19	1.70152650814e-17
3281.29763203	9.84278952238e-19	9.84278952238e-19	1.62758285045e-17
3281.49566626	9.84253896481e-19	9.84253896481e-19	1.55001998678e-17
3281.69370049	9.84228856368e-19	9.84228856368e-19	1.65668282071e-17
3281.89173471	1.94756166663e-18	1.94756166663e-18	1.63984341625e-17
3282.08976893	1.97105013197e-18	1.97105013197e-18	1.76144255938e-17
3282.28780316	1.97100007713e-18	1.97100007713e-18	1.71136214856e-17
3282.48682756	1.97094980351e-18	1.97094980351e-18	1.71694389327e-17
3282.68486179	4.79617257228e-18	4.79617257228e-18	1.59588312625e-17
3282.882896	4.79605099263e-18	4.79605099263e-18	1.55325990342e-17
3283.08093023	1.97079992066e-18	1.97079992066e-18	1.63080892966e-17
3283.27896446	1.97075002213e-18	1.97075002213e-18	1.6263724074e-17
3283.47699868	4.79568670925e-18	4.79568670925e-18	1.65549226138e-17
3283.67503291	1.97065031858e-18	1.97065031858e-18	1.64192351352e-17
3283.87306713	1.97060051353e-18	1.97060051353e-18	1.65866244188e-17
3284.07110136	4.79532310836e-18	4.79532310836e-18	1.63972771496e-17
3284.26913559	4.79520205953e-18	4.79520205953e-18	1.70009323539e-17
3284.46716981	2.45318770939e-18	2.45318770939e-18	1.67405149513e-17
3284.66520404	4.79496018884e-18	4.79496018884e-18	1.7417710368e-17
3284.86323827	4.79483936688e-18	4.79483936688e-18	1.72862155635e-17
3285.06127248	2.45300227001e-18	2.45300227001e-18	1.57744741334e-17
3285.25930671	2.45294053416e-18	2.45294053416e-18	1.6590746404e-17
3285.45734094	4.7944773541e-18	4.7944773541e-18	1.6491794879e-17
3285.65537516	2.45281717825e-18	2.45281717825e-18	1.57467400779e-17
3285.85340939	2.45275555815e-18	2.45275555815e-18	1.7512787416e-17
3286.05144362	2.45269397658e-18	2.45269397658e-18	1.61478186724e-17
3286.24947784	2.45263243354e-18	2.45263243354e-18	1.75739161896e-17
